year,clubs
Sophomore,5
First-year,4
Junior,3
Junior,3
Junior,4
Sophomore,1
Senior,1
Senior,4
First-year,3
Junior,3
Senior,1
First-year,0
First-year,2
Sophomore,0
Junior,1
Junior,4
First-year,4
First-year,3
Junior,2
Junior,2
Junior,4
Junior,3
Sophomore,2
Junior,3
First-year,3
Sophomore,2
Senior,1
Sophomore,1
Sophomore,3
Sophomore,2
Sophomore,2
First-year,1
Sophomore,2
First-year,3
Junior,3
Sophomore,4
Sophomore,4
First-year,3
Junior,1
First-year,3
First-year,3
Sophomore,3
Junior,0
First-year,4
Junior,3
First-year,1
Sophomore,4
Junior,8
Junior,2
First-year,2
First-year,1
Sophomore,2
First-year,2
Sophomore,3
First-year,1
Sophomore,3
Junior,3
Sophomore,1
Sophomore,0
Sophomore,3
First-year,3
Sophomore,3
First-year,2
First-year,2
Sophomore,3
Junior,4
First-year,1
Sophomore,2
Sophomore,4
Sophomore,3
Sophomore,2
Junior,3
Sophomore,2
Sophomore,3
Sophomore,2
Sophomore,2
Sophomore,3
Sophomore,4
Junior,2
First-year,0
Sophomore,2
Sophomore,2
First-year,0
Sophomore,1
Sophomore,1
Sophomore,1
First-year,2
First-year,5
Sophomore,1
First-year,1
First-year,2
Sophomore,4
First-year,0
Sophomore,3
Sophomore,1
Sophomore,6
Sophomore,2
Junior,5
Sophomore,0
Junior,2
Sophomore,2
Sophomore,3
First-year,0
First-year,1
Senior,6
First-year,1
Junior,2
First-year,4
Sophomore,4
First-year,1
Junior,2
Sophomore,2
Junior,2
First-year,2
Junior,3
Sophomore,3
First-year,3
Junior,3
First-year,4
Junior,2
Sophomore,4
Junior,4
Sophomore,3
Junior,4
Junior,2
Junior,3
Sophomore,2
Senior,2
First-year,2
First-year,2
Junior,2
Sophomore,2
Sophomore,3
Junior,2
Sophomore,2
First-year,3
First-year,6
Sophomore,2
Sophomore,2
Junior,3
Sophomore,5
Sophomore,4
First-year,3
First-year,4
Sophomore,2
Sophomore,1
First-year,3
Junior,0
First-year,1
Senior,5
Sophomore,2
First-year,3
Sophomore,4
Senior,2
First-year,2
First-year,4
First-year,3
Sophomore,2
Senior,4
First-year,3
Junior,1
Sophomore,3
Sophomore,2
First-year,2
Sophomore,5
First-year,1
Sophomore,1
First-year,2
Sophomore,3
Sophomore,2
First-year,4
Sophomore,3
Junior,3
Junior,2
Sophomore,3
Senior,6
Sophomore,3
Sophomore,2
Sophomore,6
First-year,0
Sophomore,3
First-year,3
Sophomore,1
Junior,3
Sophomore,2
First-year,1
First-year,3
Sophomore,8
Sophomore,1
Sophomore,2
First-year,1
Junior,1
Senior,2
Senior,2
Sophomore,5
Sophomore,2
Junior,1
Sophomore,2
Grad student,0
Sophomore,1
First-year,3
First-year,2
Junior,4
Junior,2
Junior,6
Sophomore,1
Senior,1
Junior,3
