type,date,sixth,thirteenth,diff,location
traffic,"1990,  July",139246,138548,698,loc 1
traffic,"1990,  July",134012,132908,1104,loc 2
traffic,"1991,  September",137055,136018,1037,loc 1
traffic,"1991,  September",133732,131843,1889,loc2
traffic,"1991,  December",123552,121641,1911,loc 1
traffic,"1991,  December",121139,118723,2416,loc2
traffic,"1992,  March",128293,125532,2761,loc 1
traffic,"1992,  March",124631,120249,4382,loc2
traffic,"1992,  November",124609,122770,1839,loc 1
traffic,"1992,  November",117584,117263,321,loc2
