profnumber,profevaluation,beauty,gender,age,formal,lower,native,minority,students,tenure
1,4.7,0.2015666,female,36,no,no,english,yes,43,tenure track
2,4.6,-0.8260813,male,59,no,no,english,no,20,tenured
3,4.1,-0.6603327,male,51,no,no,english,no,55,tenured
4,4.5,-0.7663125,female,40,no,no,english,no,46,tenured
5,4.8,1.421445,female,31,no,no,english,no,48,tenure track
6,4.4,0.5002196,male,62,yes,no,english,no,282,tenured
7,4.4,-0.2143501,female,33,no,no,english,no,41,tenure track
8,3.4,-0.346539,female,51,no,no,english,no,41,tenured
9,4.8,0.0613435,female,33,no,no,english,no,60,tenure track
10,4,0.4525679,male,47,no,no,english,no,19,non tenure track
11,3.6,0.1432643,male,35,no,no,non english,yes,25,tenure track
12,4.1,-0.1550228,male,37,no,no,english,no,34,non tenure track
13,4.1,0.1285433,male,42,no,no,english,no,40,tenured
14,3.5,-0.3470453,male,49,no,no,non english,no,36,tenured
15,2.9,0.4619388,female,37,no,no,english,no,28,tenure track
16,4.6,-0.1503849,male,45,no,no,english,no,33,tenured
17,4.4,-1.070734,female,56,no,no,english,no,41,non tenure track
18,4,-0.1426931,male,48,no,yes,english,no,135,non tenure track
19,4.9,-0.1563634,female,46,no,no,english,no,31,tenured
20,3.5,-0.0589354,female,57,no,no,english,no,28,non tenure track
21,3.7,0.1511368,female,52,no,no,english,no,22,non tenure track
22,3.4,-0.937076,female,29,no,no,non english,yes,26,tenure track
23,4.3,-0.8214405,male,62,no,no,english,no,39,tenured
24,4.5,-0.1994712,male,64,no,no,english,no,24,tenured
25,4.8,1.687167,female,34,no,no,english,no,26,tenure track
26,4.4,-0.4101976,male,58,no,no,english,no,159,tenured
27,4.4,0.1233448,male,52,yes,no,non english,yes,16,tenured
28,3.6,-0.8059942,male,73,yes,no,english,no,17,tenured
29,4.6,-0.8210418,male,70,yes,no,english,no,134,tenured
30,2.3,0.3198185,female,41,no,no,english,no,12,tenure track
31,4.3,-0.0985568,male,63,no,no,english,no,43,non tenure track
32,4.9,-1.012306,male,47,no,no,english,no,15,tenured
33,4.2,0.4883314,male,39,no,yes,english,no,246,tenured
34,4.2,-0.1719505,female,47,no,yes,english,yes,21,tenure track
35,4.3,-1.167907,male,54,yes,no,english,no,15,tenured
36,3.9,0.9525534,female,44,no,no,english,yes,55,tenured
37,3.9,-1.140457,male,47,no,no,english,yes,27,tenured
38,4.1,-0.8161172,male,62,yes,no,english,no,13,tenured
39,4.8,-0.4837456,male,60,no,no,english,no,34,tenured
40,3.3,0.8450468,male,37,no,no,english,no,17,tenure track
41,4.4,-0.3261277,male,42,no,no,english,no,14,tenure track
42,4.3,0.1865589,male,35,no,no,english,no,51,tenured
43,3.3,1.881674,female,39,no,yes,english,no,24,non tenure track
44,4,0.9626006,male,49,yes,no,english,no,45,tenured
45,4.5,0.1534694,male,61,yes,yes,english,no,27,tenured
46,4.9,1.261046,male,33,yes,no,english,no,31,tenure track
47,3.7,0.0232144,female,58,yes,no,english,no,34,tenured
48,3.9,-0.3460746,female,56,yes,no,english,no,19,tenured
49,4.4,-0.744618,female,50,no,yes,english,no,27,non tenure track
50,4.4,-0.7447439,male,52,no,no,english,no,67,tenured
51,4.5,0.6361284,female,33,no,no,english,no,15,tenure track
52,4.3,0.5434852,male,57,no,no,english,no,77,tenured
53,4.8,0.9825948,female,38,yes,no,english,no,65,tenured
54,4.1,-1.538843,female,34,no,yes,english,no,91,tenure track
55,3.5,1.067531,male,34,no,no,english,no,36,tenure track
56,4,-0.4143639,male,32,yes,yes,english,no,248,tenure track
57,3.8,0.7962944,female,42,no,yes,english,no,62,tenured
58,4.1,-0.6466943,female,43,no,yes,english,no,51,tenured
59,3.7,-0.4299034,male,35,no,no,non english,no,19,tenure track
60,3.2,-0.5924066,female,62,no,no,english,no,27,tenured
61,4.2,-0.9889295,male,42,no,no,english,no,86,tenured
62,4.5,0.5546651,male,39,no,no,english,no,29,tenured
63,3.8,0.6851749,female,52,yes,no,english,no,88,tenured
64,3.7,0.9755885,female,52,no,no,english,no,44,tenured
65,4.5,-1.178738,female,52,no,no,english,no,75,non tenure track
66,3.8,-1.157511,male,64,no,no,english,no,11,tenured
67,4.5,1.327346,male,50,no,no,english,no,16,tenured
68,2.4,-1.511268,male,60,no,no,english,no,32,tenured
69,3,0.3034731,female,51,yes,no,english,no,67,tenured
70,4.5,-0.5783117,male,43,no,yes,english,no,22,tenure track
71,4.6,-0.671936,male,50,no,yes,english,yes,24,non tenure track
72,3.5,0.6683338,male,52,no,no,english,no,69,tenured
73,4.8,0.7924695,male,51,yes,yes,english,no,574,tenured
74,4.2,-0.6548505,male,38,no,yes,english,no,87,tenured
75,4,0.2510546,female,47,yes,yes,english,no,24,tenured
76,3.7,-0.2397178,female,43,yes,yes,english,yes,103,tenured
77,4.5,-1.113346,female,38,no,yes,english,no,68,non tenure track
78,4.7,-0.1135935,male,43,yes,yes,english,no,13,tenured
79,4.3,-0.8351366,male,57,no,no,english,no,13,tenured
80,4,0.9005994,female,51,no,no,english,no,11,tenured
81,4.8,-0.620769,male,45,no,yes,english,no,17,non tenure track
82,3.5,-0.8552412,male,57,no,yes,english,no,14,tenured
83,3.3,1.065906,female,47,no,yes,english,no,21,non tenure track
84,4.2,1.144253,female,54,no,yes,english,yes,18,tenured
85,4.8,1.685985,male,58,no,yes,english,no,17,non tenure track
86,4.9,1.684802,male,42,no,yes,english,no,18,tenured
87,4.5,0.6362435,male,33,no,yes,english,no,120,tenure track
88,3.3,-1.269975,male,62,no,yes,english,no,38,tenured
89,3.3,1.681103,female,35,no,yes,english,yes,96,tenure track
90,3.6,-0.6756103,male,61,no,yes,english,no,39,tenured
91,4.1,-0.0901815,female,52,no,yes,english,no,111,tenured
92,3.7,-0.1450257,female,60,yes,no,non english,no,27,tenure track
93,4.5,1.143045,male,32,no,yes,english,no,132,tenure track
94,3.5,0.3320507,female,42,no,no,non english,yes,84,tenure track
1,4.1,0.2015666,female,36,no,no,english,yes,125,tenure track
1,3.9,0.2015666,female,36,no,no,english,yes,125,tenure track
1,4.8,0.2015666,female,36,no,no,english,yes,123,tenure track
2,4.3,-0.8260813,male,59,no,no,english,no,40,tenured
2,2.8,-0.8260813,male,59,no,no,english,no,44,tenured
3,3.4,-0.6603327,male,51,no,no,english,no,195,tenured
4,3.8,-0.7663125,female,40,no,no,english,no,27,tenured
4,4.5,-0.7663125,female,40,no,no,english,no,25,tenured
4,4.6,-0.7663125,female,40,no,no,english,no,20,tenured
4,3.9,-0.7663125,female,40,no,no,english,no,25,tenured
4,3.9,-0.7663125,female,40,no,no,english,no,42,tenured
4,4.3,-0.7663125,female,40,no,no,english,no,20,tenured
4,4.5,-0.7663125,female,40,no,no,english,no,18,tenured
5,4.6,1.421445,female,31,no,no,english,no,44,tenure track
5,4.6,1.421445,female,31,no,no,english,no,48,tenure track
5,4.9,1.421445,female,31,no,no,english,no,45,tenure track
5,4.6,1.421445,female,31,no,no,english,no,59,tenure track
5,4.5,1.421445,female,31,no,no,english,no,87,tenure track
6,4.6,0.5002196,male,62,yes,no,english,no,292,tenured
6,4.7,0.5002196,male,62,yes,no,english,no,130,tenured
6,4.5,0.5002196,male,62,yes,no,english,no,285,tenured
6,4.8,0.5002196,male,62,yes,no,english,no,272,tenured
6,4.9,0.5002196,male,62,yes,no,english,no,286,tenured
6,4.5,0.5002196,male,62,yes,no,english,no,302,tenured
7,4.3,-0.2143501,female,33,no,no,english,no,34,tenure track
7,4.1,-0.2143501,female,33,no,no,english,no,41,tenure track
7,4.2,-0.2143501,female,33,no,no,english,no,41,tenure track
7,3.5,-0.2143501,female,33,no,no,english,no,34,tenure track
8,4.5,-0.346539,female,51,no,no,english,no,22,tenured
8,4.4,-0.346539,female,51,no,no,english,no,21,tenured
8,4.4,-0.346539,female,51,no,no,english,no,17,tenured
8,2.5,-0.346539,female,51,no,yes,english,no,30,tenured
8,4.3,-0.346539,female,51,no,no,english,no,23,tenured
8,4.5,-0.346539,female,51,no,no,english,no,20,tenured
9,4.8,0.0613435,female,33,no,no,english,no,33,tenure track
9,4.4,0.0613435,female,33,no,no,english,no,44,tenure track
9,4.7,0.0613435,female,33,no,no,english,no,49,tenure track
9,4.4,0.0613435,female,33,no,no,english,no,29,tenure track
9,4.7,0.0613435,female,33,no,no,english,no,48,tenure track
9,4.5,0.0613435,female,33,no,no,english,no,40,tenure track
10,4.3,0.4525679,male,47,no,no,english,no,16,non tenure track
10,4.4,0.4525679,male,47,no,no,english,no,15,non tenure track
10,4.5,0.4525679,male,47,no,no,english,no,23,non tenure track
10,5,0.4525679,male,47,no,yes,english,no,11,non tenure track
10,4.9,0.4525679,male,47,no,yes,english,no,29,non tenure track
10,4.6,0.4525679,male,47,no,no,english,no,21,non tenure track
10,5,0.4525679,male,47,no,yes,english,no,18,non tenure track
10,4.7,0.4525679,male,47,no,no,english,no,19,non tenure track
10,5,0.4525679,male,47,no,yes,english,no,20,non tenure track
11,3.7,0.1432643,male,35,no,no,non english,yes,33,tenure track
11,4.3,0.1432643,male,35,no,no,non english,yes,24,tenure track
12,4.2,-0.1550228,male,37,no,no,english,no,21,non tenure track
12,4.7,-0.1550228,male,37,no,no,english,no,30,non tenure track
12,4.7,-0.1550228,male,37,no,no,english,no,25,non tenure track
12,3.5,-0.1550228,male,37,no,no,english,no,35,non tenure track
13,4.2,0.1285433,male,42,no,no,english,no,30,tenured
13,4,0.1285433,male,42,no,no,english,no,42,tenured
13,4,0.1285433,male,42,no,no,english,no,57,tenured
13,3.9,0.1285433,male,42,no,no,english,no,57,tenured
13,4.4,0.1285433,male,42,no,no,english,no,51,tenured
13,3.8,0.1285433,male,42,no,no,english,no,30,tenured
14,4.2,-0.3470453,male,49,no,no,non english,no,37,tenured
14,3.5,-0.3470453,male,49,no,no,non english,no,29,tenured
14,3.6,-0.3470453,male,49,no,no,non english,no,27,tenured
15,3.3,0.4619388,female,37,no,no,english,no,52,tenure track
15,3.3,0.4619388,female,37,no,no,english,no,26,tenure track
15,3.2,0.4619388,female,37,no,no,english,no,30,tenure track
16,4.2,-0.1503849,male,45,no,yes,english,no,177,tenured
16,4.3,-0.1503849,male,45,no,yes,english,no,199,tenured
16,4.4,-0.1503849,male,45,no,no,english,no,32,tenured
16,4.1,-0.1503849,male,45,no,no,english,no,37,tenured
16,4.6,-0.1503849,male,45,no,yes,english,no,161,tenured
17,4.8,-1.070734,female,56,no,no,english,no,44,non tenure track
17,4.3,-1.070734,female,56,no,no,english,no,53,non tenure track
17,3.6,-1.070734,female,56,no,no,english,no,49,non tenure track
17,4.3,-1.070734,female,56,no,no,english,no,32,non tenure track
18,4.2,-0.1426931,male,48,no,no,english,no,33,non tenure track
18,4.1,-0.1426931,male,48,no,no,english,no,19,non tenure track
18,4.1,-0.1426931,male,48,no,yes,english,no,111,non tenure track
18,4.4,-0.1426931,male,48,no,yes,english,no,149,non tenure track
18,4.3,-0.1426931,male,48,no,no,english,no,27,non tenure track
18,4.4,-0.1426931,male,48,no,yes,english,no,136,non tenure track
18,4.4,-0.1426931,male,48,no,yes,english,no,140,non tenure track
19,5,-0.1563634,female,46,no,yes,english,no,15,tenured
19,4.4,-0.1563634,female,46,no,no,english,no,29,tenured
19,4.8,-0.1563634,female,46,no,no,english,no,25,tenured
19,4.9,-0.1563634,female,46,no,no,english,no,18,tenured
